{1: [4, 6, 3], 2: [7, 2, 1], 3: [5], 'total_second': 10395}
{1: [4, 6, 3], 2: [2, 1], 3: [7, 5], 'total_second': 10451}
{1: [4, 6, 3], 2: [5], 3: [7, 2, 1], 'total_second': 10547}
{1: [4, 6, 3], 2: [7, 2], 3: [5, 1], 'total_second': 10550}
{1: [4, 6, 3], 2: [2], 3: [7, 5, 1], 'total_second': 10606}
{1: [4, 6, 3], 2: [5, 1], 3: [7, 2], 'total_second': 10643}
{1: [7, 6], 2: [4], 3: [2, 5, 3, 1], 'total_second': 8589}
{1: [6], 2: [7, 4], 3: [2, 5, 3, 1], 'total_second': 9236}
{1: [7], 2: [6, 4], 3: [2, 5, 3, 1], 'total_second': 9532}
{1: [4, 6], 2: [7], 3: [2, 5, 3, 1], 'total_second': 9578}
{1: [4, 7], 2: [6], 3: [2, 5, 3, 1], 'total_second': 10026}
{1: [5, 3, 1], 2: [2, 6, 4], 3: [7], 'total_second': 9320}
{1: [7], 2: [2, 6, 4], 3: [5, 3, 1], 'total_second': 9492}
{1: [3, 5], 2: [2, 6, 4], 3: [7, 1], 'total_second': 10127}
{1: [7, 1], 2: [2, 6, 4], 3: [5, 3], 'total_second': 10272}
{1: [3, 1], 2: [2, 6, 4], 3: [7, 5], 'total_second': 10921}
{1: [3], 2: [2, 6, 4], 3: [7, 5, 1], 'total_second': 11012}
{1: [7, 5], 2: [2, 6, 4], 3: [3, 1], 'total_second': 11061}
{1: [7, 5, 1], 2: [2, 6, 4], 3: [3], 'total_second': 11174}
{1: [4, 7, 1], 2: [], 3: [2, 6, 3, 5], 'total_second': 7067}
{1: [7, 1], 2: [4], 3: [2, 6, 3, 5], 'total_second': 7227}
{1: [], 2: [7, 1, 4], 3: [2, 6, 3, 5], 'total_second': 7333}
{1: [1], 2: [7, 4], 3: [2, 6, 3, 5], 'total_second': 7890}
{1: [4], 2: [7, 1], 3: [2, 6, 3, 5], 'total_second': 8061}
{1: [7], 2: [1, 4], 3: [2, 6, 3, 5], 'total_second': 8200}
{1: [4, 1], 2: [7], 3: [2, 6, 3, 5], 'total_second': 8323}
{1: [4, 7], 2: [1], 3: [2, 6, 3, 5], 'total_second': 8631}
